User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: RNA QUANTIFLUOR,Date: 20/10/2013,Time: 15:39:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D,E,E,E,E,E,E,F,F,F,F,F,F,G,G,G,G,G,G,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48
Raw Data (Em Spectrum),569,71753,143920,99551,11870,12896,10381,40669,70495,36525,6321,5948,4761,15691,23111,14247,3155,3417,4107,7310,9524,7067,1747,4288,1703,3889,5318,4196,1304,1626,1047,2746,3405,2665,950,1054,862,1647,1855,1073,911,745,2134,1533,704,744,553,678,618
Raw Data (Em Spectrum),571,70633,140684,98010,11915,12908,10362,40220,69566,36055,6256,5996,4845,15640,22943,14155,3150,3350,4026,7315,9519,6885,1725,4188,1740,3908,5306,4107,1318,1503,1050,2740,3317,2623,946,1046,844,1666,1885,1057,929,710,2053,1506,715,726,543,684,609
Raw Data (Em Spectrum),573,69182,137884,96456,11900,12723,10249,39804,68385,35740,6215,5982,4829,15612,22822,14165,3158,3395,4014,7274,9538,6880,1719,4150,1746,3928,5265,4037,1259,1367,1063,2739,3383,2594,930,1028,868,1651,1914,1070,920,718,2033,1490,686,731,541,698,639
Raw Data (Em Spectrum),575,66983,133390,94049,11520,12396,9996,38971,66863,34880,6122,5870,4711,15305,22226,13886,3130,3335,3966,7137,9390,6738,1683,4017,1691,3822,5217,3976,1245,1247,1024,2693,3292,2585,914,1003,843,1631,1885,1044,951,710,1970,1529,674,714,542,686,653
Raw Data (Em Spectrum),577,65512,129493,91759,11422,12351,9957,38051,65354,34236,6035,5755,4620,14965,21771,13646,3068,3327,3897,7092,9237,6637,1670,3919,1660,3779,5115,3881,1226,1157,1057,2696,3263,2495,943,1029,848,1619,1914,1057,914,705,1908,1457,669,698,528,670,603
Raw Data (Em Spectrum),579,64844,128383,91140,11377,12326,10046,38098,65197,34168,6077,5853,4664,15146,21934,13723,3124,3366,3982,7057,9296,6706,1684,3873,1692,3846,5168,3919,1275,1155,1019,2676,3296,2549,922,1038,857,1618,1972,1081,927,703,1898,1496,678,712,546,700,615
Raw Data (Em Spectrum),581,63438,124636,89109,11242,12220,9800,37436,63950,33798,6032,5746,4670,14972,21726,13595,3121,3330,3937,7082,9256,6605,1650,3800,1715,3822,5131,3777,1247,1179,1032,2656,3231,2550,937,1049,854,1604,2000,1063,905,704,1838,1477,689,741,547,703,592
Raw Data (Em Spectrum),583,62552,122720,88136,11112,12156,9814,37033,63182,33641,5995,5761,4676,14963,21437,13508,3060,3279,3887,7026,9283,6604,1655,3810,1692,3844,5076,3824,1243,1144,1028,2654,3129,2506,915,1042,838,1607,2086,1048,909,712,1792,1431,665,729,565,659,604
Raw Data (Em Spectrum),585,61409,120139,86801,11236,12059,9714,36716,62508,33056,5996,5778,4655,14821,21488,13507,3114,3274,3923,7065,9235,6539,1636,3713,1687,3823,5060,3822,1262,1145,1014,2723,3188,2596,925,1053,854,1604,2077,1052,918,703,1756,1480,714,693,550,687,594
Raw Data (Em Spectrum),587,60757,117962,85838,11212,12066,9797,36495,62109,33085,5946,5791,4688,14954,21158,13424,3055,3283,3855,6938,9225,6572,1645,3605,1692,3865,5023,3841,1286,1140,1050,2688,3155,2609,915,1030,854,1680,1996,1064,920,721,1690,1480,731,721,553,684,611
